Can only match :defs on :self or :const got :lvar unable to match
Mutant configuration:
Matcher:         #<Mutant::Matcher::Config match_expressions: [PaperTrailScrapbook*]>
Integration:     Mutant::Integration::Rspec
Jobs:            8
Includes:        []
Requires:        []
(00/1601) 100% - killtime: 0.00s runtime: 0.00s overhead: 0.00s
(13/1601)  86% - killtime: 2.77s runtime: 1.00s overhead: -1.77s
(22/1601)  70% - killtime: 5.39s runtime: 2.01s overhead: -3.38s
(26/1601)  54% - killtime: 7.73s runtime: 3.01s overhead: -4.72s
(28/1601)  54% - killtime: 9.73s runtime: 4.02s overhead: -5.72s
(40/1601)  57% - killtime: 17.60s runtime: 5.02s overhead: -12.58s
(48/1601)  54% - killtime: 20.48s runtime: 6.03s overhead: -14.45s
(52/1601)  49% - killtime: 22.97s runtime: 7.04s overhead: -15.93s
(65/1601)  54% - killtime: 25.98s runtime: 8.07s overhead: -17.91s
(68/1601)  53% - killtime: 27.00s runtime: 9.09s overhead: -17.91s
(72/1601)  53% - killtime: 37.85s runtime: 10.09s overhead: -27.76s
(76/1601)  50% - killtime: 40.23s runtime: 11.10s overhead: -29.13s
(76/1601)  45% - killtime: 42.40s runtime: 12.12s overhead: -30.28s
(90/1601)  47% - killtime: 45.93s runtime: 13.13s overhead: -32.80s
(90/1601)  47% - killtime: 45.93s runtime: 14.13s overhead: -31.80s
(105/1601)  51% - killtime: 56.48s runtime: 15.16s overhead: -41.33s
(116/1601)  52% - killtime: 60.37s runtime: 16.17s overhead: -44.21s
(119/1601)  51% - killtime: 62.91s runtime: 17.17s overhead: -45.74s
(133/1601)  54% - killtime: 67.35s runtime: 18.17s overhead: -49.18s
(136/1601)  54% - killtime: 68.24s runtime: 19.18s overhead: -49.06s
(142/1601)  55% - killtime: 78.14s runtime: 20.18s overhead: -57.96s
(151/1601)  55% - killtime: 80.77s runtime: 21.20s overhead: -59.57s
(159/1601)  55% - killtime: 82.77s runtime: 22.23s overhead: -60.54s
(175/1601)  58% - killtime: 86.25s runtime: 23.24s overhead: -63.01s
(175/1601)  58% - killtime: 86.25s runtime: 24.24s overhead: -62.01s
(189/1601)  59% - killtime: 97.54s runtime: 25.25s overhead: -72.29s
(203/1601)  61% - killtime: 101.56s runtime: 26.28s overhead: -75.29s
(213/1601)  61% - killtime: 104.53s runtime: 27.28s overhead: -77.26s
(225/1601)  63% - killtime: 107.76s runtime: 28.29s overhead: -79.48s
(225/1601)  63% - killtime: 107.76s runtime: 29.29s overhead: -78.47s
(237/1601)  64% - killtime: 120.29s runtime: 30.31s overhead: -89.98s
(246/1601)  64% - killtime: 123.35s runtime: 31.31s overhead: -92.04s
(255/1601)  65% - killtime: 126.31s runtime: 32.32s overhead: -93.99s
(267/1601)  66% - killtime: 129.47s runtime: 33.33s overhead: -96.13s
(269/1601)  66% - killtime: 131.64s runtime: 34.34s overhead: -97.30s
(279/1601)  66% - killtime: 139.26s runtime: 35.35s overhead: -103.91s
(285/1601)  65% - killtime: 141.59s runtime: 36.36s overhead: -105.23s
(291/1601)  65% - killtime: 143.62s runtime: 37.36s overhead: -106.25s
(302/1601)  65% - killtime: 146.53s runtime: 38.40s overhead: -108.13s
(302/1601)  65% - killtime: 146.53s runtime: 39.43s overhead: -107.11s
(313/1601)  66% - killtime: 155.98s runtime: 40.43s overhead: -115.56s
(324/1601)  67% - killtime: 158.62s runtime: 41.44s overhead: -117.18s
(333/1601)  67% - killtime: 160.59s runtime: 42.45s overhead: -118.15s
(340/1601)  67% - killtime: 162.73s runtime: 43.46s overhead: -119.28s
(342/1601)  67% - killtime: 163.99s runtime: 44.46s overhead: -119.52s
(347/1601)  66% - killtime: 171.24s runtime: 45.47s overhead: -125.77s
(348/1601)  65% - killtime: 173.04s runtime: 46.48s overhead: -126.56s
(348/1601)  63% - killtime: 174.27s runtime: 47.49s overhead: -126.78s
(348/1601)  62% - killtime: 175.74s runtime: 48.50s overhead: -127.24s
(348/1601)  61% - killtime: 183.06s runtime: 49.51s overhead: -133.55s
(349/1601)  60% - killtime: 185.43s runtime: 50.52s overhead: -134.91s
(362/1601)  61% - killtime: 189.12s runtime: 51.54s overhead: -137.58s
(373/1601)  62% - killtime: 192.45s runtime: 52.55s overhead: -139.90s
(385/1601)  63% - killtime: 195.89s runtime: 53.57s overhead: -142.33s
(386/1601)  62% - killtime: 199.06s runtime: 54.57s overhead: -144.49s
(391/1601)  62% - killtime: 205.76s runtime: 55.58s overhead: -150.18s
(405/1601)  63% - killtime: 209.67s runtime: 56.60s overhead: -153.06s
(412/1601)  63% - killtime: 211.89s runtime: 57.61s overhead: -154.28s
(421/1601)  63% - killtime: 214.03s runtime: 58.62s overhead: -155.41s
(428/1601)  63% - killtime: 221.68s runtime: 59.62s overhead: -162.06s
(437/1601)  63% - killtime: 223.94s runtime: 60.64s overhead: -163.30s
(448/1601)  63% - killtime: 226.10s runtime: 61.64s overhead: -164.46s
(449/1601)  62% - killtime: 227.59s runtime: 62.65s overhead: -164.94s
(454/1601)  62% - killtime: 228.84s runtime: 63.66s overhead: -165.19s
(457/1601)  62% - killtime: 237.11s runtime: 64.66s overhead: -172.46s
(463/1601)  62% - killtime: 239.99s runtime: 65.67s overhead: -174.32s
(476/1601)  62% - killtime: 242.53s runtime: 66.67s overhead: -175.86s
(491/1601)  63% - killtime: 245.05s runtime: 67.68s overhead: -177.37s
(496/1601)  63% - killtime: 246.31s runtime: 68.68s overhead: -177.63s
(497/1601)  62% - killtime: 254.45s runtime: 69.69s overhead: -184.76s
(503/1601)  62% - killtime: 257.47s runtime: 70.69s overhead: -186.77s
(511/1601)  62% - killtime: 258.77s runtime: 71.71s overhead: -187.06s
(515/1601)  62% - killtime: 265.55s runtime: 72.72s overhead: -192.83s
(518/1601)  62% - killtime: 269.66s runtime: 73.73s overhead: -195.93s
